GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mcp,com.codename1.server.mcp.rules,RulePack,0,44,0,0,0,19,0,1,0,1
mcp,com.codename1.server.mcp.config,Cn1Config,0,22,0,0,0,6,0,3,0,3
mcp,com.codename1.server.mcp.config,Cn1Config.Cn1Props,0,12,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.config,Cn1Config.Cn1Props.Jdk8Props,0,15,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp,McpApplication,2,20,1,1,0,6,1,3,0,3
mcp,com.codename1.server.mcp.tools,GlobalExtractor,132,575,25,34,25,132,21,30,1,20
mcp,com.codename1.server.mcp.tools,GlobalExtractor.ArchiveType,0,51,0,6,0,12,0,6,0,3
mcp,com.codename1.server.mcp.tools,PatchUtil,0,8,0,0,0,2,0,1,0,1
mcp,com.codename1.server.mcp.tools,Jdk8ManagerFromResource,56,319,17,31,11,63,17,20,0,13
mcp,com.codename1.server.mcp.dto,Patch,0,9,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,CompilerError,0,15,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,AutoFixResponse,0,16,0,2,0,3,0,2,0,1
mcp,com.codename1.server.mcp.dto,LintRequest,2,17,1,1,0,3,1,1,0,1
mcp,com.codename1.server.mcp.dto,SnippetsResponse,0,13,0,2,0,3,0,2,0,1
mcp,com.codename1.server.mcp.dto,CssCompileRequest,2,17,1,1,0,3,1,1,0,1
mcp,com.codename1.server.mcp.dto,CompileResponse,2,17,1,1,0,3,1,1,0,1
mcp,com.codename1.server.mcp.dto,AutoFixRequest,0,16,0,2,0,3,0,2,0,1
mcp,com.codename1.server.mcp.dto,Range,0,9,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,ExplainResponse,0,12,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,CssCompileResponse,0,9,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,Snippet,0,12,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,ScaffoldResponse,0,13,0,2,0,3,0,2,0,1
mcp,com.codename1.server.mcp.dto,NativeStubRequest,2,14,1,1,0,3,1,1,0,1
mcp,com.codename1.server.mcp.dto,LintDiag,0,15,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,CompileRequest,2,14,1,1,0,3,1,1,0,1
mcp,com.codename1.server.mcp.dto,SnippetsRequest,0,6,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,Range.Pos,0,9,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,LintResponse,4,22,2,2,0,4,2,1,0,1
mcp,com.codename1.server.mcp.dto,FileEntry,0,9,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,NativeStubResponse,2,11,1,1,0,3,1,1,0,1
mcp,com.codename1.server.mcp.dto,ScaffoldRequest,0,19,0,2,0,3,0,2,0,1
mcp,com.codename1.server.mcp.dto,ExplainRequest,0,6,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.dto,QuickFix,0,9,0,0,0,1,0,1,0,1
mcp,com.codename1.server.stdiomcp,StdIoMcpMain.ModeState,0,6,0,0,0,2,0,1,0,1
mcp,com.codename1.server.stdiomcp,StdIoMcpMain.RpcErr,0,12,0,0,0,1,0,1,0,1
mcp,com.codename1.server.stdiomcp,StdIoMcpMain.RpcReq,0,15,0,0,0,1,0,1,0,1
mcp,com.codename1.server.stdiomcp,StdIoMcpMain.RpcRes,0,12,0,0,0,1,0,1,0,1
mcp,com.codename1.server.stdiomcp,StdIoMcpMain,77,1193,12,41,16,260,13,45,1,25
mcp,com.codename1.server.mcp.controller,ToolsController,10,183,5,5,1,43,5,10,0,10
mcp,com.codename1.server.mcp.controller,McpSseController,0,132,0,0,0,38,0,5,0,5
mcp,com.codename1.server.mcp.service,GuideService,54,154,6,8,12,31,8,8,3,6
mcp,com.codename1.server.mcp.service,CssCompileService,110,528,42,48,29,130,39,15,0,9
mcp,com.codename1.server.mcp.service,NativeStubService,95,323,13,19,26,84,14,13,1,10
mcp,com.codename1.server.mcp.service,SnippetService.SnippetEntry,0,9,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.service,SnippetService,58,325,12,19,15,63,12,16,0,12
mcp,com.codename1.server.mcp.service,ExternalCompileService,30,190,4,8,7,39,4,6,0,4
mcp,com.codename1.server.mcp.service,NativeStubGenerator,222,1346,104,166,28,201,89,82,0,19
mcp,com.codename1.server.mcp.service,GuideService.GuideDoc,0,15,0,0,0,1,0,1,0,1
mcp,com.codename1.server.mcp.service,LintService,29,278,8,26,6,54,8,14,0,5
mcp,com.codename1.server.mcp.service,ScaffoldService,0,110,0,0,0,20,0,7,0,7
mcp,com.codename1.server.mcp.util,OsUtils,3,76,5,11,2,14,5,8,0,5
